result_label,prefix,method,metric,numerator,denominator,value
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,1,LoRA,T0,0,1,0.000000
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,1,LoRA,T1L,0,4,0.000000
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,1,LoRA,T1G,0,4,0.000000
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,1,LoRA,T2L,0,0,NA
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,1,LoRA,T2G,0,4,0.000000
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,1,LoRA,T3L,0,0,NA
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,1,LoRA,T3G,0,0,NA
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,1,LoRA,T4L,0,0,NA
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,1,LoRA,T4G,0,0,NA
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,1,LoRA,T5,0,0,NA
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,50,LoRA,T0,24,50,0.480000
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,50,LoRA,T1L,258,553,0.466546
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,50,LoRA,T1G,96,200,0.480000
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,50,LoRA,T2L,0,0,NA
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,50,LoRA,T2G,72,200,0.360000
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,50,LoRA,T3L,0,0,NA
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,50,LoRA,T3G,0,0,NA
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,50,LoRA,T4L,0,0,NA
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,50,LoRA,T4G,0,0,NA
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,50,LoRA,T5,0,0,NA
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,100,LoRA,T0,61,100,0.610000
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,100,LoRA,T1L,574,821,0.699147
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,100,LoRA,T1G,242,400,0.605000
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,100,LoRA,T2L,0,0,NA
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,100,LoRA,T2G,188,400,0.470000
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,100,LoRA,T3L,0,0,NA
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,100,LoRA,T3G,0,0,NA
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,100,LoRA,T4L,0,0,NA
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,100,LoRA,T4G,0,0,NA
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,100,LoRA,T5,0,0,NA
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,200,LoRA,T0,108,200,0.540000
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,200,LoRA,T1L,821,1664,0.493389
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,200,LoRA,T1G,433,800,0.541250
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,200,LoRA,T2L,0,0,NA
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,200,LoRA,T2G,385,800,0.481250
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,200,LoRA,T3L,0,0,NA
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,200,LoRA,T3G,0,0,NA
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,200,LoRA,T4L,0,0,NA
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,200,LoRA,T4G,0,0,NA
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,200,LoRA,T5,0,0,NA
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,1,GRACE,T0,0,1,0.000000
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,1,GRACE,T1L,0,4,0.000000
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,1,GRACE,T1G,0,4,0.000000
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,1,GRACE,T2L,0,0,NA
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,1,GRACE,T2G,0,4,0.000000
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,1,GRACE,T3L,0,0,NA
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,1,GRACE,T3G,0,0,NA
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,1,GRACE,T4L,0,0,NA
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,1,GRACE,T4G,0,0,NA
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,1,GRACE,T5,0,0,NA
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,50,GRACE,T0,0,50,0.000000
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,50,GRACE,T1L,5,553,0.009042
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,50,GRACE,T1G,3,200,0.015000
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,50,GRACE,T2L,0,0,NA
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,50,GRACE,T2G,3,200,0.015000
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,50,GRACE,T3L,0,0,NA
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,50,GRACE,T3G,0,0,NA
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,50,GRACE,T4L,0,0,NA
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,50,GRACE,T4G,0,0,NA
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,50,GRACE,T5,0,0,NA
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,100,GRACE,T0,0,100,0.000000
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,100,GRACE,T1L,21,821,0.025579
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,100,GRACE,T1G,5,400,0.012500
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,100,GRACE,T2L,0,0,NA
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,100,GRACE,T2G,11,400,0.027500
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,100,GRACE,T3L,0,0,NA
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,100,GRACE,T3G,0,0,NA
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,100,GRACE,T4L,0,0,NA
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,100,GRACE,T4G,0,0,NA
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,100,GRACE,T5,0,0,NA
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,200,GRACE,T0,0,200,0.000000
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,200,GRACE,T1L,55,1664,0.033053
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,200,GRACE,T1G,5,800,0.006250
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,200,GRACE,T2L,0,0,NA
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,200,GRACE,T2G,28,800,0.035000
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,200,GRACE,T3L,0,0,NA
