seed,event_index,opaque_edit,scope_status,profile,subset,n,on,base_correct,forced_correct,gated_correct,forced_damage_base_correct,gated_damage_base_correct,off_count,off_token_parity
20260906,1,01223e258bbc7a1f,DECLARED_IN_COVERAGE_REPORT,R0,formal_development,7,4,0,7,4,0,0,3,3
20260906,1,01223e258bbc7a1f,DECLARED_IN_COVERAGE_REPORT,R0,positive,5,5,0,5,5,0,0,0,0
20260906,1,01223e258bbc7a1f,DECLARED_IN_COVERAGE_REPORT,R0,same_image_other_source_fact,12,0,3,2,3,2,0,12,12
20260906,1,01223e258bbc7a1f,DECLARED_IN_COVERAGE_REPORT,R0,broad_unrelated_source_qa,15,0,12,12,12,1,0,15,15
20260906,1,01223e258bbc7a1f,DECLARED_IN_COVERAGE_REPORT,R0,same_question_different_image_conflicting_source_answer,5,3,2,3,3,0,0,2,2
20260906,1,01223e258bbc7a1f,DECLARED_IN_COVERAGE_REPORT,ALT,formal_development,7,2,0,5,1,0,0,5,5
20260906,1,01223e258bbc7a1f,DECLARED_IN_COVERAGE_REPORT,ALT,positive,5,4,0,4,4,0,0,1,1
20260906,1,01223e258bbc7a1f,DECLARED_IN_COVERAGE_REPORT,ALT,same_image_other_source_fact,12,0,3,3,3,1,0,12,12
20260906,1,01223e258bbc7a1f,DECLARED_IN_COVERAGE_REPORT,ALT,broad_unrelated_source_qa,15,0,12,13,12,0,0,15,15
20260906,1,01223e258bbc7a1f,DECLARED_IN_COVERAGE_REPORT,ALT,same_question_different_image_conflicting_source_answer,5,0,2,3,2,0,0,5,5
20260906,2,1534fc99d84ef734,DECLARED_IN_COVERAGE_REPORT,R0,formal_development,8,8,0,8,8,0,0,0,0
20260906,2,1534fc99d84ef734,DECLARED_IN_COVERAGE_REPORT,R0,positive,5,5,0,5,5,0,0,0,0
20260906,2,1534fc99d84ef734,DECLARED_IN_COVERAGE_REPORT,R0,same_image_other_source_fact,2,0,0,1,0,0,0,2,2
20260906,2,1534fc99d84ef734,DECLARED_IN_COVERAGE_REPORT,R0,same_question_different_image_conflicting_source_answer,5,2,1,1,1,1,1,3,3
20260906,2,1534fc99d84ef734,DECLARED_IN_COVERAGE_REPORT,R0,broad_unrelated_source_qa,15,0,7,5,7,3,0,15,15
20260906,2,1534fc99d84ef734,DECLARED_IN_COVERAGE_REPORT,ALT,formal_development,8,5,0,4,1,0,0,3,3
20260906,2,1534fc99d84ef734,DECLARED_IN_COVERAGE_REPORT,ALT,positive,5,5,0,1,1,0,0,0,0
20260906,2,1534fc99d84ef734,DECLARED_IN_COVERAGE_REPORT,ALT,same_image_other_source_fact,2,0,0,0,0,0,0,2,2
20260906,2,1534fc99d84ef734,DECLARED_IN_COVERAGE_REPORT,ALT,same_question_different_image_conflicting_source_answer,5,2,1,1,1,1,0,3,3
20260906,2,1534fc99d84ef734,DECLARED_IN_COVERAGE_REPORT,ALT,broad_unrelated_source_qa,15,0,7,5,7,3,0,15,15
20260906,3,1b0d2271e842e01a,DECLARED_IN_COVERAGE_REPORT,R0,formal_development,12,10,2,6,5,2,2,2,2
20260906,3,1b0d2271e842e01a,DECLARED_IN_COVERAGE_REPORT,R0,positive,5,5,0,5,5,0,0,0,0
